what,kind,bundleId,bundleVersion,description,time
activated,view,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.packageexplorer,1297315839186
closed,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1297315839189
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297315842128
started,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1297315949200
started,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1297315949212
started,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1297315949223
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297315949307
stopped,bundle,FlexASDocGenCommand,0.7.2,FlexASDocGenCommand,1297315949846
stopped,bundle,FlexPrettyPrintCommand,0.7.2,FlexPrettyPrintCommand,1297315949847
stopped,bundle,ActionscriptInfoCollector,0.7.2,ActionscriptInfoCollector,1297315949847
stopped,bundle,com.adobe.flexbuilder.services.CFService,4.0.0.272416,com.adobe.flexbuilder.services.CFService,1297315949847
stopped,bundle,com.adobe.flexbuilder.services.BlazeDSService,4.0.0.272416,com.adobe.flexbuilder.services.BlazeDSService,1297315949848
stopped,bundle,com.adobe.flexbuilder.services.LCDSService,4.0.0.272416,com.adobe.flexbuilder.services.LCDSService,1297315949848
stopped,bundle,com.adobe.flexbuilder.services.WEBService,4.0.0.272416,com.adobe.flexbuilder.services.WEBService,1297315949848
stopped,bundle,com.adobe.flexbuilder.services.J2EEService,4.0.0.272416,com.adobe.flexbuilder.services.J2EEService,1297315949848
stopped,bundle,com.adobe.coldfusion.rds.client,1.0.266425,com.adobe.coldfusion.rds.client,1297315949848
stopped,bundle,com.adobe.flexbuilder.debug.ui,4.0.0.272416,com.adobe.flexbuilder.debug.ui,1297315949848
stopped,bundle,com.adobe.flexbuilder.ajaxbridge,4.0.0.272416,com.adobe.flexbuilder.ajaxbridge,1297315949848
stopped,bundle,com.elementriver.sourcemate,1.0.0.v03192010,com.elementriver.sourcemate,1297315949848
stopped,bundle,com.adobe.flexbuilder.dcrad,4.0.0.272416,com.adobe.flexbuilder.dcrad,1297315949883
stopped,bundle,com.adobe.flexbuilder.mxml.editor,4.0.0.272416,com.adobe.flexbuilder.mxml.editor,1297315949883
stopped,bundle,com.adobe.flexbuilder.css.editor,4.0.0.272416,com.adobe.flexbuilder.css.editor,1297315949884
stopped,bundle,com.adobe.flexbuilder.flashbridge,4.0.0.272416,com.adobe.flexbuilder.flashbridge,1297315949884
stopped,bundle,com.adobe.flexbuilder.flexunit,4.0.0.272416,com.adobe.flexbuilder.flexunit,1297315949885
stopped,bundle,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.as.editor,1297315949885
