what,kind,bundleId,bundleVersion,description,time
opened,editor,com.adobe.flexbuilder.mxml.editor,4.0.0.272416,com.adobe.flexbuilder.editors.mxml.MXMLEditor,1297313376275
activated,editor,com.adobe.flexbuilder.mxml.editor,4.0.0.272416,com.adobe.flexbuilder.editors.mxml.MXMLEditor,1297313376840
activated,view,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.packageexplorer,1297313376941
opened,view,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.as.editor.asdocviewer,1297313378663
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.ContentOutline,1297313378691
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ProblemView,1297313378754
activated,editor,com.adobe.flexbuilder.mxml.editor,4.0.0.272416,com.adobe.flexbuilder.editors.mxml.MXMLEditor,1297313378776
activated,view,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.packageexplorer,1297313381274
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313385966
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313390355
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313390702
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313391533
closed,editor,com.adobe.flexbuilder.mxml.editor,4.0.0.272416,com.adobe.flexbuilder.editors.mxml.MXMLEditor,1297313391604
closed,view,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.as.editor.asdocviewer,1297313392293
activated,editor,com.adobe.flexbuilder.project.ui,4.0.0.272416,com.adobe.flexbuilder.ui.StartPage,1297313392349
activated,view,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.packageexplorer,1297313395451
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313405873
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313413838
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313414072
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313415055
opened,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1297313415191
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1297313415572
opened,view,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.as.editor.asdocviewer,1297313415792
activated,view,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.packageexplorer,1297313415815
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.ContentOutline,1297313415827
