what,kind,bundleId,bundleVersion,description,time
opened,view,com.adobe.flexbuilder.mxml.editor,4.0.0.272416,com.adobe.flexbuilder.mxml.editor.inspector.view.PropertiesView,1297315476732
started,bundle,com.adobe.flexide.launching,4.0.0.272416,com.adobe.flexide.launching,1297315476880
started,bundle,com.adobe.flexbuilder.debug,4.0.0.272416,com.adobe.flexbuilder.debug,1297315477056
activated,perspective,com.adobe.flexbuilder.mxml.editor,4.0.0.272416,com.adobe.flexbuilder.editors.mxml.ui.perspectives.development,1297315477285
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.perspectives.showPerspective,1297315477300
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.perspectives.showPerspective,1297315477300
opened,view,com.adobe.flexbuilder.mxml.editor,4.0.0.272416,com.adobe.flexbuilder.mxml.editor.AppearanceView,1297315477496
closed,view,com.adobe.flexbuilder.mxml.editor,4.0.0.272416,com.adobe.flexbuilder.mxml.editor.inspector.view.PropertiesView,1297315477502
closed,view,com.adobe.flexbuilder.mxml.editor,4.0.0.272416,com.adobe.flexbuilder.mxml.editor.AppearanceView,1297315477516
activated,view,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.packageexplorer,1297315481783
started,bundle,org.eclipse.wst.server.core,1.1.3.v20090209,org.eclipse.wst.server.core,1297315495792
started,bundle,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui,1297315495805
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297315513766
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297315518190
started,bundle,com.elementriver.sourcemate,1.0.0.v03192010,com.elementriver.sourcemate,1297315518323
opened,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1297315521078
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1297315522473
opened,view,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.as.editor.asdocviewer,1297315523273
activated,view,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.packageexplorer,1297315532194
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1297315539627
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1297315546085
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.9.3,org.tigris.subversion.clientadapter.javahl,1297315547774
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.10,org.tigris.subversion.clientadapter.svnkit,1297315547774
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1297315547816
started,bundle,org.eclipse.emf.common,2.4.0.v200902171115,org.eclipse.emf.common,1297315555356
