what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ProblemView,1297313916646
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1297313916665
activated,view,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.packageexplorer,1297313929247
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313932718
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313956309
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313965490
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313969796
executed,command,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring.commands.renameResource,1297313969841
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313983767
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314006915
opened,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1297314015786
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1297314015926
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314038206
activated,view,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.packageexplorer,1297314057149
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314057229
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314067102
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314077647
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314080888
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314085179
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1297314088901
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314095241
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314129506
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1297314132194
activated,view,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.packageexplorer,1297314141569
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314164284
