what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314918871
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314925135
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1297314940657
activated,view,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.packageexplorer,1297314947719
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314957409
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314965688
opened,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1297314970815
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1297314970862
activated,view,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.packageexplorer,1297314991720
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314997074
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297315001180
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297315026192
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297315037296
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1297315038348
activated,view,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.packageexplorer,1297315052695
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297315054247
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297315068674
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1297315069443
activated,view,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.packageexplorer,1297315075003
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1297315078633
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297315099768
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297315103831
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297315104530
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297315117782
activated,view,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.packageexplorer,1297315120532
