what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314179720
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314182806
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314186233
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314191208
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314193919
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314196097
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314215994
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1297314217856
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314230861
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314234627
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314240600
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314243381
executed,command,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring.commands.renameResource,1297314243426
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314248089
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314258617
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314267737
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314269293
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314271958
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314273161
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314277053
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314281758
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314283389
opened,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1297314291874
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1297314291901
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314293940
