what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.emf.ecore,2.4.2.v200902171115,org.eclipse.emf.ecore,1297315555390
started,bundle,org.eclipse.jem.util,2.0.100.v200805140020,org.eclipse.jem.util,1297315555391
started,bundle,org.eclipse.wst.common.frameworks,1.1.201.v200811060900,org.eclipse.wst.common.frameworks,1297315555393
started,bundle,org.eclipse.wst.common.emf,1.1.203.v200811022047,org.eclipse.wst.common.emf,1297315555406
started,bundle,org.eclipse.jst.j2ee.core,1.1.203.v200901221030,org.eclipse.jst.j2ee.core,1297315555407
started,bundle,org.eclipse.jem,2.0.202.v200810282000,org.eclipse.jem,1297315555420
started,bundle,org.eclipse.emf.ecore.xmi,2.4.1.v200902171115,org.eclipse.emf.ecore.xmi,1297315555431
started,bundle,org.eclipse.jst.jee,1.0.103.v200901220530,org.eclipse.jst.jee,1297315555567
started,bundle,org.eclipse.wst.sse.core,1.1.303.v200901290024,org.eclipse.wst.sse.core,1297315555601
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.202.v200901292145,org.eclipse.wst.common.frameworks.ui,1297315555620
started,bundle,org.eclipse.wst.xml.core,1.1.307.v200812040936,org.eclipse.wst.xml.core,1297315555623
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.202.v200811131900,org.eclipse.wst.common.emfworkbench.integration,1297315555671
started,bundle,org.eclipse.wst.common.project.facet.core,1.3.4.v200810151458,org.eclipse.wst.common.project.facet.core,1297315555673
started,bundle,org.eclipse.wst.common.modulecore,1.1.205.v200901292145,org.eclipse.wst.common.modulecore,1297315555684
started,bundle,org.eclipse.wst.validation,1.2.6.v200902121900,org.eclipse.wst.validation,1297315555693
started,bundle,org.eclipse.jst.j2ee,1.1.206.v200902052030,org.eclipse.jst.j2ee,1297315555723
started,bundle,org.eclipse.jst.common.project.facet.core,1.3.1.v200807031821,org.eclipse.jst.common.project.facet.core,1297315555759
started,bundle,org.eclipse.wst.web,1.1.206.v200812100430,org.eclipse.wst.web,1297315555774
activated,view,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.packageexplorer,1297315559891
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297315577312
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297315577938
opened,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1297315578013
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1297315578068
activated,view,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.packageexplorer,1297315581980
opened,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1297315582385
