what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1297313861717
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1297313867235
activated,editor,com.adobe.flexbuilder.project.ui,4.0.0.272416,com.adobe.flexbuilder.ui.StartPage,1297313869412
closed,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1297313869413
closed,view,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.as.editor.asdocviewer,1297313869800
opened,view,com.adobe.flexbuilder.mxml.editor,4.0.0.272416,com.adobe.flexbuilder.mxml.editor.components.ComponentsView,1297313881163
activated,view,com.adobe.flexbuilder.mxml.editor,4.0.0.272416,com.adobe.flexbuilder.mxml.editor.components.ComponentsView,1297313881175
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.views.showView,1297313881176
activated,editor,com.adobe.flexbuilder.project.ui,4.0.0.272416,com.adobe.flexbuilder.ui.StartPage,1297313884596
closed,view,com.adobe.flexbuilder.mxml.editor,4.0.0.272416,com.adobe.flexbuilder.mxml.editor.components.ComponentsView,1297313884601
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.ContentOutline,1297313886295
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313890694
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313892349
activated,editor,com.adobe.flexbuilder.project.ui,4.0.0.272416,com.adobe.flexbuilder.ui.StartPage,1297313892386
opened,view,com.adobe.flexbuilder.mxml.editor,4.0.0.272416,com.adobe.flexbuilder.mxml.editor.inspector.view.PropertiesView,1297313892534
activated,perspective,com.adobe.flexbuilder.mxml.editor,4.0.0.272416,com.adobe.flexbuilder.editors.mxml.ui.perspectives.development,1297313892569
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.window.resetPerspective,1297313892848
activated,view,com.adobe.flexbuilder.mxml.editor,4.0.0.272416,com.adobe.flexbuilder.mxml.editor.inspector.view.PropertiesView,1297313898243
activated,editor,com.adobe.flexbuilder.project.ui,4.0.0.272416,com.adobe.flexbuilder.ui.StartPage,1297313898268
activated,view,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.packageexplorer,1297313906178
opened,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1297313916132
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1297313916420
closed,view,com.adobe.flexbuilder.mxml.editor,4.0.0.272416,com.adobe.flexbuilder.mxml.editor.inspector.view.PropertiesView,1297313916587
activated,view,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.packageexplorer,1297313916635
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.ContentOutline,1297313916642
