what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313669970
started,bundle,org.eclipse.emf.ecore,2.4.2.v200902171115,org.eclipse.emf.ecore,1297313669998
started,bundle,org.eclipse.jem.util,2.0.100.v200805140020,org.eclipse.jem.util,1297313670003
started,bundle,org.eclipse.wst.common.frameworks,1.1.201.v200811060900,org.eclipse.wst.common.frameworks,1297313670003
started,bundle,org.eclipse.wst.common.emf,1.1.203.v200811022047,org.eclipse.wst.common.emf,1297313670016
started,bundle,org.eclipse.jst.j2ee.core,1.1.203.v200901221030,org.eclipse.jst.j2ee.core,1297313670017
started,bundle,org.eclipse.jem,2.0.202.v200810282000,org.eclipse.jem,1297313670033
started,bundle,org.eclipse.emf.ecore.xmi,2.4.1.v200902171115,org.eclipse.emf.ecore.xmi,1297313670039
started,bundle,org.eclipse.jst.jee,1.0.103.v200901220530,org.eclipse.jst.jee,1297313670206
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.202.v200901292145,org.eclipse.wst.common.frameworks.ui,1297313670262
started,bundle,org.eclipse.wst.xml.core,1.1.307.v200812040936,org.eclipse.wst.xml.core,1297313670263
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.202.v200811131900,org.eclipse.wst.common.emfworkbench.integration,1297313670317
started,bundle,org.eclipse.wst.common.project.facet.core,1.3.4.v200810151458,org.eclipse.wst.common.project.facet.core,1297313670318
started,bundle,org.eclipse.wst.common.modulecore,1.1.205.v200901292145,org.eclipse.wst.common.modulecore,1297313670330
started,bundle,org.eclipse.wst.validation,1.2.6.v200902121900,org.eclipse.wst.validation,1297313670341
started,bundle,org.eclipse.jst.j2ee,1.1.206.v200902052030,org.eclipse.jst.j2ee,1297313670362
started,bundle,org.eclipse.jst.common.project.facet.core,1.3.1.v200807031821,org.eclipse.jst.common.project.facet.core,1297313670402
started,bundle,org.eclipse.wst.web,1.1.206.v200812100430,org.eclipse.wst.web,1297313670415
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1297313675136
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313681465
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313683709
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313687509
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313734092
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313741904
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313778121
