what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313797815
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313799311
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313799663
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313799736
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313803431
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313804847
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313808016
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313808898
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313809235
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313809307
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313812054
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313813330
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313813721
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313813801
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.ContentOutline,1297313827268
activated,view,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.packageexplorer,1297313828738
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313847440
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313850202
opened,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1297313850369
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1297313850708
opened,view,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.as.editor.asdocviewer,1297313850944
activated,view,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.packageexplorer,1297313850962
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.ContentOutline,1297313850978
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ProblemView,1297313850982
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1297313851002
