what,kind,bundleId,bundleVersion,description,time
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1297314295314
closed,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1297314295315
opened,view,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.as.editor.asdocviewer,1297314295384
activated,view,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.packageexplorer,1297314295403
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.ContentOutline,1297314295410
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ProblemView,1297314295413
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1297314295433
activated,view,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.packageexplorer,1297314304526
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314307459
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314311501
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314313291
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314315940
opened,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1297314318254
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1297314318303
activated,view,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.packageexplorer,1297314323120
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1297314333407
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314336825
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297314506828
activated,view,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.packageexplorer,1297314513259
opened,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1297314535833
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1297314535904
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1297314545160
activated,view,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.packageexplorer,1297314550190
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1297314555764
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1297314570537
