what,kind,bundleId,bundleVersion,description,time
started,bundle,com.adobe.flexide.refactoring.core,4.0.0.272416,com.adobe.flexide.refactoring.core,1297313227845
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1297313227849
opened,view,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.packageexplorer,1297313228087
opened,view,com.adobe.flexbuilder.mxml.editor,4.0.0.272416,com.adobe.flexbuilder.mxml.editor.inspector.view.PropertiesView,1297313228400
started,bundle,com.adobe.flexbuilder.debug,4.0.0.272416,com.adobe.flexbuilder.debug,1297313228695
activated,perspective,com.adobe.flexbuilder.mxml.editor,4.0.0.272416,com.adobe.flexbuilder.editors.mxml.ui.perspectives.development,1297313229063
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.perspectives.showPerspective,1297313229110
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.perspectives.showPerspective,1297313229111
opened,view,com.adobe.flexbuilder.mxml.editor,4.0.0.272416,com.adobe.flexbuilder.mxml.editor.AppearanceView,1297313229453
closed,view,com.adobe.flexbuilder.mxml.editor,4.0.0.272416,com.adobe.flexbuilder.mxml.editor.inspector.view.PropertiesView,1297313229458
closed,view,com.adobe.flexbuilder.mxml.editor,4.0.0.272416,com.adobe.flexbuilder.mxml.editor.AppearanceView,1297313229470
activated,view,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.packageexplorer,1297313259340
started,bundle,com.adobe.flexbuilder.monitors.network,4.0.0.272416,com.adobe.flexbuilder.monitors.network,1297313283870
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313284008
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313306491
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.9.3,org.tigris.subversion.clientadapter.javahl,1297313306601
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.10,org.tigris.subversion.clientadapter.svnkit,1297313306601
started,bundle,com.collabnet.subversion.merge,2.0.1,com.collabnet.subversion.merge,1297313307170
started,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1297313307311
started,bundle,org.tigris.subversion.subclipse.ui,1.6.10,org.tigris.subversion.subclipse.ui,1297313307446
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313324517
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313354544
started,bundle,com.elementriver.sourcemate,1.0.0.v03192010,com.elementriver.sourcemate,1297313366972
started,bundle,com.adobe.flexide.designitems,4.0.0.272416,com.adobe.flexide.designitems,1297313375138
started,bundle,com.adobe.flexbuilder.designview,4.0.0.272416,com.adobe.flexbuilder.designview,1297313375207
