what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ProblemView,1297313415831
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1297313415863
activated,view,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.packageexplorer,1297313424348
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313430207
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313435116
activated,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1297313438726
executed,command,,,AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/com.adobe.flexbuilder.as.editor.ruler.selection.action,1297313440133
executed,command,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.editors.lineNumberToggle,1297313441669
started,bundle,org.eclipse.wst.server.core,1.1.3.v20090209,org.eclipse.wst.server.core,1297313443650
started,bundle,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui,1297313443667
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313451356
started,bundle,org.eclipse.wst.sse.core,1.1.303.v200901290024,org.eclipse.wst.sse.core,1297313492814
started,bundle,org.eclipse.wst.sse.ui,1.1.4.v200901202345,org.eclipse.wst.sse.ui,1297313492854
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1297313580356
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313605289
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313613879
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313659483
activated,editor,com.adobe.flexbuilder.project.ui,4.0.0.272416,com.adobe.flexbuilder.ui.StartPage,1297313662461
closed,editor,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor,1297313662461
closed,view,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.as.editor.asdocviewer,1297313663177
activated,view,com.adobe.flexbuilder.as.editor,4.0.0.272416,com.adobe.flexbuilder.packageexplorer,1297313665080
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313667415
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313669306
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1297313669639
started,bundle,org.eclipse.emf.common,2.4.0.v200902171115,org.eclipse.emf.common,1297313669958
